"record_type","entity_type","id","tipo_alerta","fecha","severidad","descripcion","resuelta","nombre","codigo","ciudad","tipo","riesgo","nivel_riesgo","edad","genero","fecha_registro","email","telefono","categoria","saldo","estado","fecha_apertura","limite_credito","ip_address","user_agent","ultima_conexion","numero","fecha_expiracion","limite","monto","fraudulenta","canal","razones_sospecha","latitud","longitud","pais","direccion","start_id","end_id","distancia_km","es_anomala","cambio_pais","fecha_destino","tipo_destino","es_sospechosa","frecuencia_cliente","es_comercio_habitual","coincidencia_categoria","score_riesgo","regla_activada","prioridad","fecha_origen","tipo_operacion","es_inusual","fecha_asociacion","canal_apertura","verificada","fecha_asignacion","tipo_relacion","es_principal","fecha_emision","estado_asignacion","fecha_uso","primera_vez","veces_usado","dispositivo_nuevo","coincidencia_usuario","metodo_autenticacion","intento_fallido","tarjeta_nueva"
"node","Alerta","ALT-0000","velocity","2026-04-30 22:40:56","media","Eveniet libero sint aut libero inventore iusto numquam.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0001","device_sharing","2026-04-16 14:38:59","critica","Tempore porro adipisci quam numquam fuga autem optio.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0002","fraude_confirmado","2026-04-03 06:49:09","alta","Mollitia vitae doloribus a facilis a id.","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0003","velocity","2026-04-15 13:20:06","critica","Officia veniam neque porro assumenda.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0004","device_sharing","2026-04-27 04:50:06","media","Earum nostrum earum tempora.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0005","velocity","2026-04-03 23:06:42","media","Aut voluptas earum alias eveniet similique.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0006","fraude_confirmado","2026-04-05 00:14:24","alta","Qui ea fuga fuga commodi quia.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0007","device_sharing","2026-04-24 08:11:07","alta","Nam alias nemo.","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0008","velocity","2026-05-01 12:09:30","critica","Itaque molestias ea aliquid doloribus.","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0009","device_sharing","2026-04-24 15:01:34","critica","Consectetur libero eum exercitationem blanditiis est voluptatem.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0010","geoloc_anomala","2026-04-20 20:01:50","baja","Ullam exercitationem doloribus ad.","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0011","fraude_confirmado","2026-04-13 22:54:23","alta","Ea veritatis laborum quas voluptatibus.","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0012","geoloc_anomala","2026-04-18 19:40:47","alta","Illum quidem facilis a quia odit accusamus quod.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0013","fraude_confirmado","2026-04-19 21:36:13","baja","Dolorum cum quam.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0014","device_sharing","2026-04-22 06:17:40","media","Cumque ea accusantium at corporis aspernatur porro.","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0015","fraude_confirmado","2026-04-17 04:25:09","critica","Placeat accusamus sequi fugiat.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0016","fraude_confirmado","2026-04-29 02:07:17","baja","Quisquam voluptates eligendi.","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0017","geoloc_anomala","2026-04-21 06:38:35","baja","Totam natus placeat eveniet at architecto ex velit.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0018","fraude_confirmado","2026-04-07 12:13:15","media","Commodi animi perferendis sed non a.","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0019","device_sharing","2026-04-04 15:40:04","alta","Reiciendis repellendus ducimus.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0020","velocity","2026-04-23 00:55:39","baja","Voluptate maiores maxime exercitationem repellendus quibusdam.","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0021","velocity","2026-04-18 06:13:44","alta","Nemo dolorem unde vitae voluptate dolor.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0022","velocity","2026-04-29 15:22:21","media","Repudiandae dolores ab repellendus reiciendis maxime.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0023","geoloc_anomala","2026-04-11 14:33:49","alta","Odit deleniti vero nisi placeat cupiditate quasi placeat.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0024","fraude_confirmado","2026-04-23 01:13:42","baja","Possimus tempore temporibus expedita ipsa suscipit.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0025","geoloc_anomala","2026-04-27 08:28:08","alta","Accusamus aut culpa ea debitis.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0026","fraude_confirmado","2026-04-30 07:51:16","critica","Illo ducimus nemo accusantium eos deserunt placeat.","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0027","velocity","2026-04-07 22:51:16","media","Illo itaque voluptates.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0028","device_sharing","2026-04-14 04:45:15","alta","Nisi illo quis numquam debitis quos.","True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"node","Alerta","ALT-0029","velocity","2026-04-28 23:18:28","alta","Eos reprehenderit maxime inventore saepe laborum.","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
