record_type,entity_type,id,tipo_alerta,fecha,severidad,descripcion,resuelta,nombre,codigo,ciudad,tipo,riesgo,nivel_riesgo,edad,genero,fecha_registro,email,telefono,categoria,saldo,estado,fecha_apertura,limite_credito,ip_address,user_agent,ultima_conexion,numero,fecha_expiracion,limite,monto,fraudulenta,canal,razones_sospecha,latitud,longitud,pais,direccion,start_id,end_id,distancia_km,es_anomala,cambio_pais,fecha_destino,tipo_destino,es_sospechosa,frecuencia_cliente,es_comercio_habitual,coincidencia_categoria,score_riesgo,regla_activada,prioridad,fecha_origen,tipo_operacion,es_inusual,fecha_asociacion,canal_apertura,verificada,fecha_asignacion,tipo_relacion,es_principal,fecha_emision,estado_asignacion,fecha_uso,primera_vez,veces_usado,dispositivo_nuevo,coincidencia_usuario,metodo_autenticacion,intento_fallido,tarjeta_nueva
node,Banco,BAN-04001,,,,,,Banco Central 5,BC500,Guatemala,Tradicional,False,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Banco,BAN-04002,,,,,,Banco Maya 5,BC501,Quetzaltenango,Digital,True,Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Banco,BAN-04003,,,,,,Banco Pacifico 5,BC502,Antigua Guatemala,Tradicional,False,Medio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Banco,BAN-04004,,,,,,Banco Norte 5,BC503,San Salvador,Digital,True,Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Banco,BAN-04005,,,,,,Banco Digital 5,BC504,Ciudad de Mexico,Tradicional,False,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04001,,,,,,,,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,14.634900,-90.506900,Guatemala,"Avenida 100, zona 1, Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04002,,,,,,,,Quetzaltenango,,,,,,,,,,,,,,,,,,,,,,,,14.865100,-91.541500,Guatemala,"Avenida 101, zona 2, Quetzaltenango",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04003,,,,,,,,Antigua Guatemala,,,,,,,,,,,,,,,,,,,,,,,,14.584600,-90.751500,Guatemala,"Avenida 102, zona 3, Antigua Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04004,,,,,,,,San Salvador,,,,,,,,,,,,,,,,,,,,,,,,13.731900,-89.251200,El Salvador,"Avenida 103, zona 4, San Salvador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04005,,,,,,,,Ciudad de Mexico,,,,,,,,,,,,,,,,,,,,,,,,19.484600,-99.177200,Mexico,"Avenida 104, zona 5, Ciudad de Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04006,,,,,,,,Bogota,,,,,,,,,,,,,,,,,,,,,,,,4.776000,-74.127100,Colombia,"Avenida 105, zona 6, Bogota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04007,,,,,,,,Madrid,,,,,,,,,,,,,,,,,,,,,,,,40.494800,-3.769800,Espana,"Avenida 106, zona 7, Madrid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04008,,,,,,,,Miami,,,,,,,,,,,,,,,,,,,,,,,,25.852700,-80.268800,Estados Unidos,"Avenida 107, zona 8, Miami",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04009,,,,,,,,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,14.738900,-90.594900,Guatemala,"Avenida 108, zona 9, Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04010,,,,,,,,Quetzaltenango,,,,,,,,,,,,,,,,,,,,,,,,14.969100,-91.629500,Guatemala,"Avenida 109, zona 10, Quetzaltenango",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04011,,,,,,,,Antigua Guatemala,,,,,,,,,,,,,,,,,,,,,,,,14.688600,-90.839500,Guatemala,"Avenida 110, zona 11, Antigua Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04012,,,,,,,,San Salvador,,,,,,,,,,,,,,,,,,,,,,,,13.835900,-89.339200,El Salvador,"Avenida 111, zona 12, San Salvador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04013,,,,,,,,Ciudad de Mexico,,,,,,,,,,,,,,,,,,,,,,,,19.588600,-99.265200,Mexico,"Avenida 112, zona 1, Ciudad de Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04014,,,,,,,,Bogota,,,,,,,,,,,,,,,,,,,,,,,,4.880000,-74.215100,Colombia,"Avenida 113, zona 2, Bogota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04015,,,,,,,,Madrid,,,,,,,,,,,,,,,,,,,,,,,,40.598800,-3.857800,Espana,"Avenida 114, zona 3, Madrid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04016,,,,,,,,Miami,,,,,,,,,,,,,,,,,,,,,,,,25.956700,-80.356800,Estados Unidos,"Avenida 115, zona 4, Miami",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04017,,,,,,,,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,14.842900,-90.682900,Guatemala,"Avenida 116, zona 5, Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04018,,,,,,,,Quetzaltenango,,,,,,,,,,,,,,,,,,,,,,,,15.073100,-91.717500,Guatemala,"Avenida 117, zona 6, Quetzaltenango",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04019,,,,,,,,Antigua Guatemala,,,,,,,,,,,,,,,,,,,,,,,,14.792600,-90.927500,Guatemala,"Avenida 118, zona 7, Antigua Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04020,,,,,,,,San Salvador,,,,,,,,,,,,,,,,,,,,,,,,13.939900,-89.427200,El Salvador,"Avenida 119, zona 8, San Salvador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04021,,,,,,,,Ciudad de Mexico,,,,,,,,,,,,,,,,,,,,,,,,19.692600,-99.353200,Mexico,"Avenida 120, zona 9, Ciudad de Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04022,,,,,,,,Bogota,,,,,,,,,,,,,,,,,,,,,,,,4.984000,-74.303100,Colombia,"Avenida 121, zona 10, Bogota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04023,,,,,,,,Madrid,,,,,,,,,,,,,,,,,,,,,,,,40.702800,-3.945800,Espana,"Avenida 122, zona 11, Madrid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04024,,,,,,,,Miami,,,,,,,,,,,,,,,,,,,,,,,,26.060700,-80.444800,Estados Unidos,"Avenida 123, zona 12, Miami",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04025,,,,,,,,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,14.946900,-90.770900,Guatemala,"Avenida 124, zona 1, Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04026,,,,,,,,Quetzaltenango,,,,,,,,,,,,,,,,,,,,,,,,15.177100,-91.805500,Guatemala,"Avenida 125, zona 2, Quetzaltenango",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04027,,,,,,,,Antigua Guatemala,,,,,,,,,,,,,,,,,,,,,,,,14.896600,-91.015500,Guatemala,"Avenida 126, zona 3, Antigua Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04028,,,,,,,,San Salvador,,,,,,,,,,,,,,,,,,,,,,,,14.043900,-89.515200,El Salvador,"Avenida 127, zona 4, San Salvador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04029,,,,,,,,Ciudad de Mexico,,,,,,,,,,,,,,,,,,,,,,,,19.796600,-99.441200,Mexico,"Avenida 128, zona 5, Ciudad de Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04030,,,,,,,,Bogota,,,,,,,,,,,,,,,,,,,,,,,,5.088000,-74.391100,Colombia,"Avenida 129, zona 6, Bogota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04031,,,,,,,,Madrid,,,,,,,,,,,,,,,,,,,,,,,,40.806800,-4.033800,Espana,"Avenida 130, zona 7, Madrid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04032,,,,,,,,Miami,,,,,,,,,,,,,,,,,,,,,,,,26.164700,-80.532800,Estados Unidos,"Avenida 131, zona 8, Miami",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04033,,,,,,,,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,15.050900,-90.858900,Guatemala,"Avenida 132, zona 9, Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04034,,,,,,,,Quetzaltenango,,,,,,,,,,,,,,,,,,,,,,,,15.281100,-91.893500,Guatemala,"Avenida 133, zona 10, Quetzaltenango",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04035,,,,,,,,Antigua Guatemala,,,,,,,,,,,,,,,,,,,,,,,,15.000600,-91.103500,Guatemala,"Avenida 134, zona 11, Antigua Guatemala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04036,,,,,,,,San Salvador,,,,,,,,,,,,,,,,,,,,,,,,14.147900,-89.603200,El Salvador,"Avenida 135, zona 12, San Salvador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04037,,,,,,,,Ciudad de Mexico,,,,,,,,,,,,,,,,,,,,,,,,19.900600,-99.529200,Mexico,"Avenida 136, zona 1, Ciudad de Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04038,,,,,,,,Bogota,,,,,,,,,,,,,,,,,,,,,,,,5.192000,-74.479100,Colombia,"Avenida 137, zona 2, Bogota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04039,,,,,,,,Madrid,,,,,,,,,,,,,,,,,,,,,,,,40.910800,-4.121800,Espana,"Avenida 138, zona 3, Madrid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Ubicacion,UBI-04040,,,,,,,,Miami,,,,,,,,,,,,,,,,,,,,,,,,26.268700,-80.620800,Estados Unidos,"Avenida 139, zona 4, Miami",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04001,,,,,,Comercio 5-00,,Bogota,,True,,,,,,,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04002,,,,,,Comercio 5-01,,Madrid,,True,,,,,,,Apuestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04003,,,,,,Comercio 5-02,,Miami,,True,,,,,,,Cripto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04004,,,,,,Comercio 5-03,,Guatemala,,True,,,,,,,Viajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04005,,,,,,Comercio 5-04,,Quetzaltenango,,True,,,,,,,Electronica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04006,,,,,,Comercio 5-05,,Antigua Guatemala,,True,,,,,,,Alimentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04007,,,,,,Comercio 5-06,,San Salvador,,True,,,,,,,Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04008,,,,,,Comercio 5-07,,Ciudad de Mexico,,False,,,,,,,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04009,,,,,,Comercio 5-08,,Bogota,,False,,,,,,,Apuestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04010,,,,,,Comercio 5-09,,Madrid,,False,,,,,,,Cripto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04011,,,,,,Comercio 5-10,,Miami,,False,,,,,,,Viajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04012,,,,,,Comercio 5-11,,Guatemala,,False,,,,,,,Electronica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04013,,,,,,Comercio 5-12,,Quetzaltenango,,True,,,,,,,Alimentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04014,,,,,,Comercio 5-13,,Antigua Guatemala,,False,,,,,,,Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04015,,,,,,Comercio 5-14,,San Salvador,,False,,,,,,,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04016,,,,,,Comercio 5-15,,Ciudad de Mexico,,False,,,,,,,Apuestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,Comercio,COM-04017,,,,,,Comercio 5-16,,Bogota,,False,,,,,,,Cripto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
